Stations_ID; Mess_Datum; Qualitaets_Niveau; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
       44;20131023;   3;   16.0;  15.0;  -999;    -999;   82.79;-999;   19.7;   12.8;   10.7;-999;   0.0;   0;    2.783;   0;eor
       44;20131024;   3;   10.9;  10.9;  -999;    -999;   84.17;-999;   15.2;    4.8;    1.7;-999;   0.0;   0;    8.233;   0;eor
       44;20131025;   3;   12.0;  13.0;  -999;    -999;   90.38;-999;   16.4;    4.9;    1.7;-999;   2.1;   4;    0.000;   0;eor
       44;20131026;   3;   15.5;  15.5;  -999;    -999;   88.04;-999;   19.3;   13.9;   11.3;-999;   0.0;   0;    2.383;   0;eor
       44;20131027;   3;   14.1;  13.1;  -999;    -999;   81.54;-999;   16.1;   12.5;   10.4;-999;   6.1;   4;    2.817;   0;eor
       44;20131028;   3;   13.3;  12.3;  -999;    -999;   80.46;-999;   17.6;   10.3;    8.2;-999;   2.4;   4;    0.983;   0;eor
       44;20131029;   3;    9.7;  10.0;  -999;    -999;   83.00;-999;   12.6;    7.1;    5.6;-999;   5.0;   4;    0.800;   0;eor
       44;20131030;   3;    8.1;   9.5;  -999;    -999;   87.83;-999;   12.3;    6.2;    3.0;-999;   0.0;   0;    5.100;   0;eor
       44;20131031;   3;    9.1;   9.2;  -999;    -999;   80.08;-999;   12.1;    5.5;    3.4;-999;   0.0;   4;    5.700;   0;eor
       44;20131101;   3;   10.6;  11.1;  -999;    -999;   86.17;-999;   13.1;    9.2;    7.1;-999;   2.4;   4;    0.217;   0;eor
       44;20131102;   3;    9.3;  11.5;  -999;    -999;   97.46;-999;   11.2;    7.8;    7.7;-999;   6.5;   4;    0.000;   0;eor
       44;20131103;   3;    8.7;   9.6;  -999;    -999;   85.29;-999;   11.2;    6.2;    4.5;-999;   4.2;   4;    1.283;   0;eor
